"","State","meanIBU"
"1","AK",40.8823529411765
"2","AL",51.2222222222222
"3","AR",39
"4","AZ",35.2083333333333
"5","CA",46.2814814814815
"6","CO",47.4315068493151
"7","CT",40.8333333333333
"8","DC",55.25
"9","DE",52
"10","FL",46.7567567567568
"11","GA",46.2857142857143
"12","HI",32.6666666666667
"13","IA",33.2
"14","ID",55.1176470588235
"15","IL",41.4615384615385
"16","IN",42.989010989011
"17","KS",36.6842105263158
"18","KY",40.7142857142857
"19","LA",33
"20","MA",38
"21","MD",36.8
"22","ME",52.8571428571429
"23","MI",36.7368421052632
"24","MN",49.9565217391304
"25","MO",32.4827586206897
"26","MS",46.4545454545455
"27","MT",41.695652173913
"28","NC",43.3
"29","ND",40.3333333333333
"30","NE",30.6666666666667
"31","NH",48.5
"32","NJ",46.375
"33","NM",57
"34","NV",46.5
"35","NY",46
"36","OH",44.1875
"37","OK",40.7272727272727
"38","OR",47.9425287356322
"39","PA",42.4468085106383
"40","RI",31.55
"41","SC",30.2
"42","SD",NA
"43","TN",41.6
"44","TX",40.3932584269663
"45","UT",45.5454545454545
"46","VA",45.3714285714286
"47","VT",42.2941176470588
"48","WA",44.9767441860465
"49","WI",26.547619047619
"50","WV",57.5
"51","WY",32.0833333333333
