"","State","medianABV"
"1","AK",0.056
"2","AL",0.06
"3","AR",0.052
"4","AZ",0.055
"5","CA",0.058
"6","CO",0.0605
"7","CT",0.06
"8","DC",0.0625
"9","DE",0.055
"10","FL",0.057
"11","GA",0.055
"12","HI",0.054
"13","IA",0.0555
"14","ID",0.0565
"15","IL",0.058
"16","IN",0.058
"17","KS",0.05
"18","KY",0.0625
"19","LA",0.052
"20","MA",0.054
"21","MD",0.058
"22","ME",0.051
"23","MI",0.062
"24","MN",0.056
"25","MO",0.052
"26","MS",0.058
"27","MT",0.055
"28","NC",0.057
"29","ND",0.05
"30","NE",0.056
"31","NH",0.055
"32","NJ",0.046
"33","NM",0.062
"34","NV",0.06
"35","NY",0.055
"36","OH",0.058
"37","OK",0.06
"38","OR",0.056
"39","PA",0.057
"40","RI",0.055
"41","SC",0.055
"42","SD",0.06
"43","TN",0.057
"44","TX",0.055
"45","UT",0.04
"46","VA",0.0565
"47","VT",0.055
"48","WA",0.0555
"49","WI",0.052
"50","WV",0.062
"51","WY",0.05
